prev_pid,prev_name,prev_vruntime,prev_sum_exec_runtime,next_pid,next_name,next_vruntime,next_sum_exec_runtime
10743,spy,6392009509,7518,10726,spy,6392007342,5072

10655,spy,6182772573,2310980,0,swapper/3,0,0

10726,spy,6392010128,7858,10711,spy,6392007349,4916

10711,spy,6392010213,7780,10694,spy,6392007357,5397

10694,spy,6392009173,7213,10735,spy,6392007396,6011

10735,spy,6392009083,7698,10731,spy,6392007422,5291

10731,spy,6392009128,6997,10728,spy,6392007434,5290

10728,spy,6392009227,7083,10719,spy,6392007443,6225

10719,spy,6392009298,8080,10739,spy,6392007452,5343

10739,spy,6392009054,6945,10730,spy,6392007454,5495

10730,spy,6392009543,7584,10733,spy,6392007501,5574

10733,spy,6392009015,7088,10747,spy,6392007526,5463

10747,spy,6392009211,7148,10732,spy,6392007529,5415

10732,spy,6392009236,7122,10723,spy,6392007532,5289

10723,spy,6392009914,7671,10742,spy,6392007532,5497

10742,spy,6392009399,7364,10688,spy,6392007534,5223

10688,spy,6392009285,6974,10698,spy,6392007539,5238

10698,spy,6392009241,6940,10715,spy,6392007554,5394

10715,spy,6392009328,7168,10717,spy,6392007559,5337

10717,spy,6392009367,7145,10734,spy,6392007559,5378

10734,spy,6392009514,7333,10744,spy,6392007566,5333

10744,spy,6392009118,6885,10692,spy,6392007573,5759

10692,spy,6392009337,7523,10737,spy,6392007577,5347

10737,spy,6392009399,7169,10709,spy,6392007592,5565

10709,spy,6392009399,7372,10724,spy,6392007594,5486

10724,spy,6392009516,7408,10696,spy,6392007598,5286

10696,spy,6392009423,7111,10701,spy,6392007611,5538

10701,spy,6392009581,7508,10722,spy,6392007623,5291

10722,spy,6392017750,15418,10716,spy,6392007633,5496

10716,spy,6392010929,8792,10746,spy,6392007636,5589

10746,spy,6392009854,7807,10710,spy,6392007642,6271

10710,spy,6392010159,8788,10703,spy,6392007654,6837

10703,spy,6392009881,9064,10691,spy,6392007664,5451

10691,spy,6392009419,7206,10721,spy,6392007667,5339

197,systemd-journal,8340682008,29543144153,1566,kworker/1:0,211704367514,205768595

10721,spy,6392009614,7286,10699,spy,6392007682,5696

10699,spy,6392009678,7692,10713,spy,6392007718,5515

10713,spy,6392009754,7551,10712,spy,6392007722,5693

10712,spy,6392009960,7931,10695,spy,6392007723,5718

1566,kworker/1:0,211704377106,205778187,16,ksoftirqd/1,211704367514,9503603

10695,spy,6392009540,7535,10741,spy,6392007723,5379

10741,spy,6392010525,8181,10725,spy,6392007737,5533

16,ksoftirqd/1,211704371893,9507982,197,systemd-journal,8340682008,29543144153

10725,spy,6392009803,7599,10693,spy,6392007738,5620

10693,spy,6392009716,7598,10702,spy,6392007766,5531

10702,spy,6392010165,7930,10706,spy,6392007810,5718

10706,spy,6392009707,7615,10740,spy,6392007816,6303

10740,spy,6392009726,8213,10707,spy,6392007838,5576

10707,spy,6392009599,7337,10708,spy,6392007871,5869

10708,spy,6392009749,7747,10697,spy,6392007885,5606

10697,spy,6392009809,7530,10704,spy,6392007887,5866

10704,spy,6392009867,7846,10689,spy,6392007936,5757

10689,spy,6392009833,7654,10687,spy,6392007990,5878

10687,spy,6392009803,7691,10690,spy,6392007992,5795

10690,spy,6392009839,7642,10745,spy,6392008190,6170

10745,spy,6392009954,7934,10736,spy,6392008239,6276

10736,spy,6392011009,9046,10720,spy,6392008301,6245

10720,spy,6392010146,8090,10705,spy,6392008346,6227

10705,spy,6392010365,8246,10714,spy,6392008411,6126
