prev_pid,prev_name,prev_vruntime,prev_sum_exec_runtime,next_pid,next_name,next_vruntime,next_sum_exec_runtime
0,swapper/1,0,0,868,rs:main Q:Reg,596817879,1357446279

867,in:imklog,640732884,1327213157,0,swapper/2,0,0

868,rs:main Q:Reg,596949876,1357578276,0,swapper/1,0,0

199,systemd-journal,2242089521,6066799431,0,swapper/0,0,0

0,swapper/2,0,0,582,gmain,153116574,338529397

582,gmain,153173575,338586398,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,640732884,1327213157

0,swapper/1,0,0,7,rcu_sched,1263768289430,9977044427

0,swapper/0,0,0,199,systemd-journal,2242089521,6066799431

7,rcu_sched,1263768313835,9977068832,0,swapper/1,0,0

0,swapper/1,0,0,868,rs:main Q:Reg,596949876,1357578276

867,in:imklog,640850762,1327331035,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,640850762,1327331035

867,in:imklog,640891839,1327372112,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,640891839,1327372112

867,in:imklog,640930908,1327411181,0,swapper/2,0,0

868,rs:main Q:Reg,597133801,1357762201,0,swapper/1,0,0

199,systemd-journal,2242567892,6067277802,0,swapper/0,0,0

0,swapper/0,0,0,1835,geany,102792102161,44987097721

1835,geany,102792142666,44987138226,0,swapper/0,0,0

0,swapper/2,0,0,867,in:imklog,640930908,1327411181

0,swapper/0,0,0,199,systemd-journal,2242567892,6067277802

0,swapper/1,0,0,868,rs:main Q:Reg,597133801,1357762201

867,in:imklog,640993083,1327473356,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,640993083,1327473356

867,in:imklog,641072737,1327553010,0,swapper/2,0,0

868,rs:main Q:Reg,597271556,1357899956,0,swapper/1,0,0

199,systemd-journal,2242927300,6067637210,0,swapper/0,0,0

0,swapper/2,0,0,867,in:imklog,641072737,1327553010

0,swapper/1,0,0,7,rcu_sched,1263768313835,9977068832

0,swapper/0,0,0,199,systemd-journal,2242927300,6067637210

7,rcu_sched,1263768327950,9977082947,0,swapper/1,0,0

0,swapper/1,0,0,868,rs:main Q:Reg,597271556,1357899956

867,in:imklog,641176962,1327657235,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,641176962,1327657235

867,in:imklog,641202222,1327682495,0,swapper/2,0,0

868,rs:main Q:Reg,597415007,1358043407,0,swapper/1,0,0

0,swapper/2,0,0,582,gmain,153173575,338586398

199,systemd-journal,2243311878,6068021788,0,swapper/0,0,0

582,gmain,153288292,338701115,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,641202222,1327682495

0,swapper/1,0,0,7,rcu_sched,1263768327950,9977082947

0,swapper/0,0,0,199,systemd-journal,2243311878,6068021788

7,rcu_sched,1263768348574,9977103571,0,swapper/1,0,0

0,swapper/1,0,0,868,rs:main Q:Reg,597415007,1358043407

867,in:imklog,641327099,1327807372,582,gmain,153288292,338701115

582,gmain,153315844,338728667,0,swapper/2,0,0

868,rs:main Q:Reg,597559885,1358188285,0,swapper/1,0,0

199,systemd-journal,2243670570,6068380480,0,swapper/0,0,0

0,swapper/2,0,0,867,in:imklog,641327099,1327807372

0,swapper/0,0,0,199,systemd-journal,2243670570,6068380480

0,swapper/1,0,0,868,rs:main Q:Reg,597559885,1358188285

11088,cc1,1829603271,71779943,0,swapper/3,0,0

