p_pid     p_name		p_vrt	      p_sum_exe_rt 		  n_pid     n_name  	 n_vrt  	 n_sum_exe_rt|	prev_tslice next_tslice  CPU
     0 , swapper/1,               0,               0,    868 ,rs:main Q:Reg,       595689392,     1354086435, | ,          0 ,    178464 
   867 , in:imklog,       637248150,      1323728423,    582 ,     gmain,       152812154,      338224977, | ,     144831 ,    131712 
   582 ,     gmain,       152842929,       338255752,      0 , swapper/2,               0,              0, | ,      30775 ,         0 
   868 ,rs:main Q:Reg,       595839237,      1354236280,      0 , swapper/1,               0,              0, | ,     149845 ,         0 
   199 ,systemd-journal,      2239710308,      6056867063,      0 , swapper/0,               0,              0, | ,     431146 ,         0 
     0 , swapper/0,               0,               0,   2626 ,     gmain,    102773124102,      553390071, | ,          0 , 553390071 
     0 , swapper/1,               0,               0,   2623 ,  nautilus,     76055698596,    29538064091, | ,          0 ,29538064091 
  2623 ,  nautilus,     76055843561,     29538209056,      0 , swapper/1,               0,              0, | , 29538209056 ,         0 
     0 , swapper/1,               0,               0,   2623 ,  nautilus,     76055843561,    29538209056, | ,          0 ,    144965 
  2623 ,  nautilus,     76055922505,     29538288000,      0 , swapper/1,               0,              0, | ,      78944 ,         0 
     0 , swapper/1,               0,               0,   2623 ,  nautilus,     76055922505,    29538288000, | ,          0 ,     78944 
  2623 ,  nautilus,     76055960336,     29538325831,      0 , swapper/1,               0,              0, | ,      37831 ,         0 
     0 , swapper/1,               0,               0,   2623 ,  nautilus,     76055960336,    29538325831, | ,          0 ,     37831 
  2623 ,  nautilus,     76056137007,     29538502502,      0 , swapper/1,               0,              0, | ,     176671 ,         0 
     0 , swapper/1,               0,               0,   2623 ,  nautilus,     76056137007,    29538502502, | ,          0 ,    176671 
  2623 ,  nautilus,     76056268658,     29538634153,      0 , swapper/1,               0,              0, | ,     131651 ,         0 
     0 , swapper/1,               0,               0,   2623 ,  nautilus,     76056268658,    29538634153, | ,          0 ,    131651 
  2623 ,  nautilus,     76056308324,     29538673819,      0 , swapper/1,               0,              0, | ,      39666 ,         0 
     0 , swapper/1,               0,               0,   2623 ,  nautilus,     76056308324,    29538673819, | ,          0 ,     39666 
  2623 ,  nautilus,     76056346022,     29538711517,      0 , swapper/1,               0,              0, | ,      37698 ,         0 
     0 , swapper/1,               0,               0,   2623 ,  nautilus,     76056346022,    29538711517, | ,          0 ,     37698 
  2623 ,  nautilus,     76056504809,     29538870304,      0 , swapper/1,               0,              0, | ,     158787 ,         0 
     0 , swapper/1,               0,               0,   2623 ,  nautilus,     76056504809,    29538870304, | ,          0 ,    158787 
  2623 ,  nautilus,     76056742846,     29539108341,      0 , swapper/1,               0,              0, | ,     238037 ,         0 
     0 , swapper/1,               0,               0,   2623 ,  nautilus,     76056742846,    29539108341, | ,          0 ,    238037 
  2623 ,  nautilus,     76056755854,     29539121349,      0 , swapper/1,               0,              0, | ,      13008 ,         0 
     0 , swapper/1,               0,               0,   2623 ,  nautilus,     76056755854,    29539121349, | ,          0 ,     13008 
  2623 ,  nautilus,     76056826085,     29539191580,      0 , swapper/1,               0,              0, | ,      70231 ,         0 
     0 , swapper/1,               0,               0,   2623 ,  nautilus,     76056826085,    29539191580, | ,          0 ,     70231 
  2623 ,  nautilus,     76056841366,     29539206861,      0 , swapper/1,               0,              0, | ,      15281 ,         0 
     0 , swapper/1,               0,               0,   2623 ,  nautilus,     76056841366,    29539206861, | ,          0 ,     15281 
  2623 ,  nautilus,     76056869091,     29539234586,      0 , swapper/1,               0,              0, | ,      27725 ,         0 
     0 , swapper/1,               0,               0,   2623 ,  nautilus,     76056869091,    29539234586, | ,          0 ,     27725 
  2623 ,  nautilus,     76056925272,     29539290767,      0 , swapper/1,               0,              0, | ,      56181 ,         0 
     0 , swapper/1,               0,               0,   2623 ,  nautilus,     76056925272,    29539290767, | ,          0 ,     56181 
  2623 ,  nautilus,     76057184173,     29539549668,      0 , swapper/1,               0,              0, | ,     258901 ,         0 
     0 , swapper/1,               0,               0,   2623 ,  nautilus,     76057184173,    29539549668, | ,          0 ,    258901 
  2623 ,  nautilus,     76057276900,     29539642395,      0 , swapper/1,               0,              0, | ,      92727 ,         0 
     0 , swapper/1,               0,               0,   2623 ,  nautilus,     76057276900,    29539642395, | ,          0 ,     92727 
  2626 ,     gmain,    102775048778,       555314747,      0 , swapper/0,               0,              0, | ,  555314747 ,         0 
     0 , swapper/0,               0,               0,   2626 ,     gmain,    102775048778,      555314747, | ,          0 ,   1924676 
  2626 ,     gmain,    102775179861,       555445830,  11089 ,  nautilus,    102790452482,              0, | ,     131083 ,         0 
 11089 ,      pool,    102790621511,          169029,  11090 ,  nautilus,    102799551677,              0, | ,     169029 ,         0 
 11090 ,      pool,    102799562561,           10884,      0 , swapper/0,               0,              0, | ,      10884 ,         0 
     0 , swapper/0,               0,               0,  11089 ,      pool,    102790621511,         169029, | ,          0 ,    169029 
 11089 ,      pool,    102790694786,          242304,      0 , swapper/0,               0,              0, | ,      73275 ,         0 
     0 , swapper/0,               0,               0,  11090 ,      pool,    102799562561,          10884, | ,          0 ,     10884 
